,Title,Description,Date Created,Origin,Author,Recipient,Year,Month,Day
1390,"1880? February 10, Nice, to My dear Alexis",,1880-02-10,Nice (France),"Author (aut): Cope, Annette, 1843-1916","Addressee (rcp): Cope, Alexis T. (Alexis Thomas), 1850-1883",1880,2,10
1391,"1880 March 21, Hotel de la Paix, Rome, to Lily","Clementine describes her visits to various ruins and landmarks around the city of Rome, as well as the recent birthday celebration in the city for King Umberto I.
Before moving on to Rome, Clementine stayed with the Muller family in the French-Italian border commune of Menton, or ""Mentone"" in Italian, as she writes it.",1880-03-21,Rome (Italy),"Author (aut): Cope, Clementine, 1835-1903","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,3,21
1392,"1880 April 8, Awbury, to Grandma, Atlantic City",,1880-04-08,"Awbury (Philadelphia, Pa.)","Author (aut): Evans, Anna Cope, 1875-1967|Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1880,4,8
1393,"1880 April 25, to Wife",,1880-04-25,"Germantown (Philadelphia, Pa.)","Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1880,4,25
1394,"Letter from Annette Cope to Lilly, 1880 May 3",,1880-05-03,Florence (Italy),"Author (aut): Cope, Annette, 1843-1916","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,5,3
1395,"1880 May 5, Awbury, to Alex, Montrose",,1880-05-05,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Alexis T. (Alexis Thomas), 1850-1883",1880,5,5
1396,"Letter from Burgess + Co. to Cope Brothers, 1880 May 20",,1880-05-20,Philadelphia (Pa.),"Author (aut): Burgess, George","Addressee (rcp): Cope, Francis Reeve, 1821-1909|Addressee (rcp): Cope, Thomas Pim, 1823-1900|Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1852-1944",1880,5,20
1397,"Letter from William M. Baird & Co. agents to Cope Brothers, 1880 May 25",,1880-05-25,Philadelphia (Pa.),Author (aut): William M. Baird & Co. agents,Addressee (rcp): Cope Brothers,1880,5,25
1398,"Letter from the Health Office to the Cope Brothers, 1880 June 1",,1880-06-01,Philadelphia (Pa.),"Author (aut): Lowell, E. A.",Addressee (rcp): Cope Brothers,1880,6,1
1399,"1880 June 14, Geneva, to Lily","Clementine writes to Elizabeth from Lake Geneva, on the French-Swiss border, where she is staying with a French family met the previous fall. She loves the area and Europe in general (calling it ""the living side of the Atlantic"").

Clementine half-seriously advises Elizabeth to move from Woodbourne to a cottage on the Lake Geneva hillside and admits that she would do so herself permanently were it not for Elizabeth and Alexis' children, whom she wishes so much to see .

Clementine describes the educational opportunities in the region as exception for those from ""moderate circumstances.""",1880-06-14,Geneva (Switzerland),"Author (aut): Cope, Clementine, 1835-1903","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,6,14
1400,"1880 July 2, Mencola Cottage, to My precious husband",,1880-07-02,Atlantic City (N.J.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,7,2
1401,"1880 July 5, Dennis Cottage, to My dear mother",,1880-07-05,Atlantic City (N.J.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1880,7,5
1402,"1880 July 11, Geneva, to Alexis","Clementine writes to cousin Alexis from Geneva, where she has been for the summer months with Caroline E. and Annette Cope. The latter two are eager to return home, but Clementine prefers to stay in Europe and expresses he want to do so if it is not completely necessary to return to Connymead to see her portion of it transfered to Alexis and his family .

Clementine expresses a belief that she could get along well with her current French host family were she to remain in Geneva indefinitely.",1880-07-11,Geneva (Switzerland),"Author (aut): Cope, Clementine, 1835-1903","Addressee (rcp): Cope, Alexis T. (Alexis Thomas), 1850-1883",1880,7,11
1403,"1880 July 13, Montrose, to Rachel",,1880-07-13,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1880,7,13
1404,"1880 July 20, Mt Desert, to cousin Clem","Mary is staying alone at Mt Desert and enjoying the peace and quiet afforded, recalling lyrics by Shelley on the subjects.

The letter appears to be imcomplete.",1880-07-20,Mount Desert Island (Me.),"Author (aut): Cope, Mary Stokes, 1853-1888","Addressee (rcp): Cope, Clementine, 1835-1903",1880,7,20
1405,"1880 July 21, Dennis Cottage, to My beloved husband",,1880-07-21,Atlantic City (N.J.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,7,21
1406,"1880 July 26, Geneva, to Lilly","Clementine is remiss to not be writing in French, as her host family would have her do, assuming that English would be prefered.",1880-07-26,Geneva (Switzerland),"Author (aut): Cope, Clementine, 1835-1903","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,7,26
1407,"1880? July 27, Chemin de la Tours, to My dear Lil",,1880-07-27,Geneva (Switzerland),"Author (aut): Cope, Annette, 1843-1916","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,7,27
1408,"1880 August 1, Montrose, to My beloved husband",,1880-08-01,"Montrose (Susquehanna County, Pa.)","Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,8,1
1409,"1880 August 1, Montrose, to My dear husband",,1880-08-01,"Montrose (Susquehanna County, Pa.)","Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,8,1
1410,"1880 August 2, Montrose, to Clemmie",,1880-08-02,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Clementine, 1835-1903",1880,8,2
1411,"1880 August 2, Montrose, to My dear wife",,1880-08-02,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1880,8,2
1412,"1880 August 4, Montrose, to My dear Wife",,1880-08-02,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1880,8,2
1413,"1880 August 3, Montrose, to My dearest husband",,1880-08-03,"Montrose (Susquehanna County, Pa.)","Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,8,3
1414,"1880 August 9, Chateau d'Oex, to My dear Aunt Caroline",,1880-08-09,Chateau d'Oex (Switzerland),"Author (aut): Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Author (aut): Cope, Annette, 1843-1916",,1880,8,9
1415,"1880 August 18, Montrose, to My dearest Jonathan","The accompanying note by Anna Evans, mentioned as to be sent with this letter, is not longer with it.",1880-08-18,"Montrose (Susquehanna County, Pa.)","Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,8,18
1416,"1880 August 23, Montrose, to My dearest husband","Letter quotes from ""The Life and Correspondence of Thomas Arnold"" by Arthur Penrhyn Stanley http://lccn.loc.gov/15012721, exact edition unknown. Also includes a quote from William Wordsworth's poem ""To the Rev. Dr. Wordsworth"".",1880-08-23,"Montrose (Susquehanna County, Pa.)","Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,8,23
1417,"1880 August 28, to Papa","This letter was sent with Rachel Cope Evans' letter of the same date, cataloged under hsc1299.",1880-08-28,"Montrose (Susquehanna County, Pa.)","Author (aut): Evans, Francis Algernon, 1878-1946","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,8,28
1418,"1880 August 28, Montrose, to My dearest husband","This letter was accompanied by a letter of the same date written by Francis Algernon Evans, cataloged under hsc1307.",1880-08-28,"Montrose (Susquehanna County, Pa.)","Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,8,28
1419,"1880 September 5, Montrose, to My dear mother",,1880-09-05,"Montrose (Susquehanna County, Pa.)","Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1880,9,5
1420,"1880 September 6, Awbury, to My dear Lily & Alexis",,1880-09-06,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Elizabeth Waln Stokes, 1823-1902","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937|Addressee (rcp): Cope, Alexis T. (Alexis Thomas), 1850-1883",1880,9,6
1421,"1880 September 15, to Papa","This letter was sent with Rachel Cope Evans' letter of the same date, cataloged under hsc1301.",1880-09-15,"Montrose (Susquehanna County, Pa.)","Author (aut): Evans, Anna Cope, 1875-1967","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,9,15
1422,"1880 September 15, Montrose, to My dearest husband","This letter was accompanied by a letter written by Anna Cope Evans, cataloged separately under hsc1308.",1880-09-15,"Montrose (Susquehanna County, Pa.)","Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,9,15
1423,"1880 September 17, to Papa","This letter was sent with Rachel Cope Evans' letter of the same date, cataloged separately under hsc1302. The letter was most likely composed in part with the assistance of his mother.",1880-09-17,"Montrose (Susquehanna County, Pa.)","Author (aut): Evans, Francis Algernon, 1878-1946","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,9,17
1424,"1880 September 17, Montrose, to My dearest husband","This letter was accompanied by a letter by Francis Algernon Evans, cataloged separately under hsc1309.",1880-09-17,"Montrose (Susquehanna County, Pa.)","Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,9,17
1425,"1880 September 20, Montrose, to My dearest husband",,1880-09-20,"Montrose (Susquehanna County, Pa.)","Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,9,20
1426,"1880 September 22, Philadelphia, to Dear Anna",,1880-09-22,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1880,9,22
1427,"1880 September 22, Montrose, to My dear husband","Letter mentions an accompanying letter by Francis Algernon Evans, the present status of which is unknown.",1880-09-22,"Montrose (Susquehanna County, Pa.)","Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1880,9,22
1428,"1880 October, Woodbourne, to Dear Wife",,1880-10-01,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1880,10,1
1429,"1880 October 12, Montrose, to Lilly",,1880-10-12,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,10,12
1430,"1880 October 14, Montrose, to Lilly",,1880-10-14,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,10,14
1431,"1880 October 15, Montrose, to Lilly",,1880-10-15,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,10,15
1432,"1880 October 17, Downingtown, to Anna",,1880-10-17,Downingtown (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1880,10,17
1433,"1880 October 19, Montrose, to Lilly",,1880-10-19,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,10,19
1434,"1880 October 19, Montrose, to little Agnes",,1880-10-19,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Agnes, 1876-1899",1880,10,19
1435,"1880 October 21, Montrose, to Lilly",,1880-10-21,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,10,21
1436,"1880 October 29, Montrose, to Lilly",,1880-10-29,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,10,29
1437,"1880 November 9, Montrose, to Lilly",Comments upon the results of the recent 1880 presidential election.,1880-11-09,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,11,9
1438,"1880 November 11, Montrose, to Lilly",,1880-11-11,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,11,11
1439,"1880 November 14, Montrose, to Lilly",The author discourages the employment of Irish Immigrants as domestics.,1880-11-14,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,11,14
1440,"1880 November 17, Montrose, to Lilly",The author shares his opinions of the worth of Irish immigrants.,1880-11-17,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1880,11,17
1442,"1881 March 23, Old Point Comfort, to Lilly",,1881-03-23,"Old Point Comfort (Hampton, Va.)","Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1881,3,23
1443,"1881 March 23, Norfolk, to Lilly",,1881-03-23,Norfolk (Va.),"Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1881,3,23
1444,"1881 April 17, Woodbourne, to Lillie","Describes examining the state of the house and possessions of Frances M. Drinker, who had died 16 months previous.",1881-04-17,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1881,4,17
1445,"1881 April 30, Atlantic City, to Lilly",,1881-04-30,Atlantic City (N.J.),"Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1881,4,30
1446,"1881 May 2, Atlantic City, to Lilly",,1881-05-02,Atlantic City (N.J.),"Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1881,5,2
1447,"1881 May 4, Atlantic City, to Lilly",,1881-05-04,Atlantic City (N.J.),"Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1881,5,4
1448,"1881 June 20, Richfield Springs, to Mother","Includes quotations on page 2 of Henry Wadsworth Longfellow's ""The Cloisters.""",1881-06-20,Richfield (N.Y.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1881,6,20
1449,"1881 June 27, Massey Farm, to My own dearly beloved",,1881-06-27,Darlington (Md.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1881,6,27
1450,"1881 July 5, Montrose, to Anna",,1881-07-05,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1881,7,5
1451,"1881 July 7, Massey Farm, to Mother",,1881-07-07,Darlington (Md.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1881,7,7
1452,"1881 July 9, Montrose, to Anna",,1881-07-09,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1881,7,9
1453,"1881 July 13, Montrose, to My dear wife",,1881-07-13,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1881,7,13
1454,"1881 July 19, Philadelphia, to Dear Anna",,1881-07-19,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1881,7,19
1455,"1881 July 20, Newport, to My dear husband",,1881-07-20,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1881,7,20
1456,"1881 July 22, Philada, to Anna",,1881-07-22,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1881,7,22
1457,"1881 July 23, to Anna Cope Evans",,1881-07-23,,"Author (aut): Cope, Agnes, 1876-1899","Addressee (rcp): Evans, Anna Cope, 1875-1967",1881,7,23
1458,"1881 July 23,  Awbury, to Anna","In the margin she wrote: ""Please excuse this I began on the other side of the sheet & forgot this.""",1881-07-23,"Awbury (Philadelphia, Pa.)","Author (aut): Stork, Anna Brown Cope, b. 1862",,1881,7,23
1459,"1881 July 25, Newport, to My dear husband",,1881-07-25,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1881,7,25
1460,"1881 July 26, Newport, to My dearest husband, Philadelphia",,1881-07-26,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1881,7,26
1461,"1881 July 31, Montrose, to cousin Anna",,1881-07-31,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Agnes, 1876-1899","Addressee (rcp): Evans, Anna Cope, 1875-1967",1881,7,31
1462,"1881 August 3, Halls' Cliff House, Newport, to My dear Husband",,1881-08-03,Newport (R.I.),"Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1881,8,3
1463,"1881 August 7, Newport, to My dearest husband",,1881-08-07,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1881,8,7
1464,"1881 August 8, Newport, to My own dear gudeman",,1881-08-08,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1881,8,8
1465,"1881 August 9, Newport, to My dear husband",,1881-08-09,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1881,8,9
1466,"1881 August 11, Awbury, to Anna",,1881-08-11,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1881,8,11
1467,"1881 August 13, Philadelphia, to Dear Anna",,1881-08-13,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1881,8,13
1468,"1881 August 16, Newport, to Papa",Written with the assistance of Rachel C. Evans in her hand. Letter was sent with and kept with letters of the same date by Rachel C. Evans and Francis Algernon Evans. hsc1316 & hsc1317,1881-08-16,Newport (R.I.),"Author (aut): Evans, Anna Cope, 1875-1967","Addressee (rcp): Evans, Jonathan, 1843-1911",1881,8,16
1469,"1881 August 16, Newport, to My dear papa","Letter co-written Rachel Cope Evans, in her hand and with her assistance. Letter was sent and kept with those of the same date by Rachel Cope Evans and Anna Cope Evans. hsc1316 & hsc1318",1881-08-16,Newport (R.I.),"Author (aut): Evans, Francis Algernon, 1878-1946|Author (aut): Evans, Rachel Reeve Cope, 1850-1939",,1881,8,16
1470,"1881 August 16, Newport, to My ""dearest dear""",Letter was sent and kept with letters of the same date by Francis Algernon Evans and Anna Cope Evans. hsc1317 & hsc1318,1881-08-16,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1881,8,16
1471,"1881 August 20, Philada, to Anna",,1881-08-20,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1881,8,20
1472,"1881 August 30, Montrose, to Mother",,1881-08-30,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1881,8,30
1473,"1881 September 12, Montrose, to Dear Cousin Anna",,1881-09-12,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, Annette, 1843-1916","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1881,9,12
1474,"1881 September 28, to My dear Mother",,1881-09-28,"Awbury (Philadelphia, Pa.)","Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1881,9,28
1475,"1882, to Frankie",Letter may date from August 1882 to August 1883.,1882,,"Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Francis R. (Francis Reeve), 1878-1962",1882,0,0
1476,"1882 June 2, Awbury, to Anna",,1882-06-02,"Awbury (Philadelphia, Pa.)","Author (aut): Stork, Anna Brown Cope, b. 1862","Addressee (rcp): Evans, Anna Cope, 1875-1967",1882,6,2
1477,"Envelope of letter (sheet of paper) from Samuel Grant to Francis Reeve Cope, 1882 June 12",,1882-06-12,,"Author (aut): Grant, Samuel","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1882,6,12
1478,"1882 June 27, Newport, to My dear husband, Awbury",,1882-06-27,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,6,27
1479,"1882 July, Newport, to Jonathan",no salutation,1882-07-01,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,7,1
1480,"1882 July 2, Newport, to My dear gentleman, Awbury",,1882-07-02,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,7,2
1481,"1882 July 3, Newport, to Dear papa, Awbury",note from Anna Cope Evans written by her mother,1882-07-03,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939|Author (aut): Evans, Anna Cope, 1875-1967","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,7,3
1482,"1882 July 3, Newport, to Dear papa, Awbury",first part written by Francis Algernon Evans,1882-07-03,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939|Author (aut): Evans, Francis Algernon, 1878-1946","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,7,3
1483,"1882 July 4, Newport, to My very dear husband, Maryland",,1882-07-04,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,7,4
1484,"1882 July 5, Newport, to My dearest husband, Maryland",,1882-07-05,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,7,5
1485,"1882 July 7, Newport, to My dearest husband",,1882-07-07,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,7,7
1486,"1882 July 9, Awbury, to Anna",,1882-07-09,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1882,7,9
1487,"1882 July 10, Newport, to My dearest husband",,1882-07-10,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,7,10
1488,"1882 July 14, Awbury, to Dear Father",,1882-07-14,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Hazen, 1859-1909","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1882,7,14
1489,"1882 July 14, Newport, to My very dear Jonathan",,1882-07-14,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,7,14
1490,"1882 July 18, New York, to Dear Mother",,1882-07-18,New York (N.Y.),"Author (aut): Cope, Francis Hazen, 1859-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1882,7,18
1491,"1882 July 18, New York Harbor, to Dear Father",,1882-07-18,New York Harbor (N.Y.),"Author (aut): Cope, Francis Hazen, 1859-1909","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1882,7,18
1492,"1882 July 19, Awbury, to Sister","Letter announces the sale of Connymead. The bottom two-thirds of pages 3 and 4 (same sheet) are missing. Letter ends before missing section on page 4, so text is only missing from page 3.",1882-07-19,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Alexis T. (Alexis Thomas), 1850-1883","Addressee (rcp): Cope, Annette, 1843-1916",1882,7,19
1493,"1882 July 19, Philada, to Anna",,1882-07-19,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1882,7,19
1494,"1882? July 22, Peacedale, to Dear Cousin Anna","Author mentions the sale of ""Connymead"" by Alexis T. Cope.",1882-07-22,Peace Dale (R.I.),"Author (aut): Cope, Annette, 1843-1916","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1882,7,22
1495,"1882 July 31, Newport, to My own dear husband",,1882-07-31,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,7,31
1496,"1882 August 1, Newport, to My dear husband, Awbury",,1882-08-01,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,8,1
1497,"1882 August 4, Newport, to My dear husband, Awbury",,1882-08-04,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,8,4
1498,"1882 August 4, Newport, to Dear papa, Awbury",,1882-08-04,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939|Author (aut): Evans, Francis Algernon, 1878-1946","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,8,4
1499,"1882 August 7, Newport, My dearest husband",,1882-08-07,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,8,7
